fiberid,radeg,decdeg,source_id,bdbs_id,n6569_oid,photometry_ok,gaia_ok,phot_g_mean_mag,i0,g0,r0,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,RV_adopted,e_RV_adopted,SNR_CaT,rv_quality,rv_member_window_NGC6569,CaT1,CaT2,CaT3,SumEW23,Teff_adopted,e_Teff_adopted,logg_adopted,e_logg_adopted,FeH_adopted,e_FeH_adopted,FeH_source,FeHDP_avg_W2W3,FeHDP_stddev_W2W3,FeH_avg_SP,FeH_stddex_SP,aFe_adopted,e_aFe_adopted,aFe_source,SED_status,SED_ok,SED_n_bands_used,SED_red_chi2,SED_agreement,chem_window_adopted,high_alpha_window,table_use_flag
46,273.698,-32.104,4045870703345010048,148565004,488395,True,True,14.468,13.1800,15.2760,16.9950,-4.236,0.029,-7.403,0.020,0.070,0.026,178.539,3.225,48.600,good,False,1.624,3.514,2.935,6.449,3993.0,100.0,1.952,0.443,-0.68,0.116,SP_Ace+CaT_DP_consensus,-0.755,0.093,-0.566,0.184,0.251,0.353,SP_Ace,modeled,False,5.0,247.016,check,True,True,secondary
48,273.464,-31.970,4048878417407596416,147952362,373273,True,True,17.010,15.6910,16.6040,15.9740,-3.360,0.117,-7.824,0.087,0.184,0.103,-76.143,3.205,20.600,good,False,0.906,2.288,1.826,4.114,5529.0,444.1,3.99,0.944,-0.55,0.51,SP_Ace_primary_CaT_DP_disagrees,-1.111,0.091,-0.55,0.51,0.0,0.14,SP_Ace,modeled,True,5.0,0.147,check,False,False,RV_CaT_only
52,273.462,-31.952,4048881376635763840,147947362,372314,True,True,17.191,15.8740,16.8960,16.1860,-4.106,0.091,-7.420,0.068,0.066,0.079,-48.470,3.280,17.400,usable,True,0.980,2.735,2.275,5.009,5461.0,304.1,3.01,0.735,-0.705,0.139,SP_Ace+CaT_DP_consensus,-0.725,0.072,-0.58,0.379,0.072,0.604,SP_Ace,modeled,True,5.0,0.909,check,False,False,secondary
54,273.836,-32.171,4045858849235077504,148922961,544456,True,True,15.995,15.2380,16.1770,15.4930,-3.470,0.053,-6.557,0.038,-0.038,0.044,13.849,3.365,16.000,usable,False,1.435,3.257,2.620,5.877,4783.5,277.1,3.186,0.547,-0.493,0.12,SP_Ace+CaT_DP_consensus,-0.557,0.045,-0.376,0.201,0.264,0.531,SP_Ace,modeled,True,5.0,0.533,check,False,False,secondary
57,273.511,-31.922,4048878971453998976,148075650,396450,True,True,16.612,15.2250,16.3520,15.5590,-4.104,0.129,-7.398,0.094,-0.192,0.109,-29.055,3.355,39.000,good,True,1.440,3.017,2.519,5.536,4653.0,100.0,3.039,0.39,-0.472,0.094,SP_Ace+CaT_DP_consensus,-0.581,0.046,-0.4,0.121,0.145,0.277,SP_Ace,modeled,True,5.0,0.121,consistent,False,False,primary
58,273.576,-31.968,4048879280801579520,148246848,428987,True,True,17.217,15.7770,16.7620,16.1130,-4.051,0.099,-7.350,0.071,0.039,0.084,-45.621,3.827,15.900,usable,True,1.055,2.858,2.147,5.005,5256.5,228.7,2.736,1.368,-0.718,0.148,SP_Ace+CaT_DP_consensus,-0.713,0.052,-0.915,0.96,0.64,1.0,SP_Ace,modeled,True,6.0,0.264,check,True,True,RV_CaT_only
61,273.622,-32.056,4045874727851137152,148367453,451600,True,True,15.869,14.6310,15.7750,14.9620,-3.279,0.055,-7.599,0.044,0.034,0.048,-78.426,3.215,40.000,good,False,1.439,2.600,2.133,4.733,4646.0,106.0,1.123,0.558,-1.133,0.104,SP_Ace+CaT_DP_consensus,-1.029,0.046,-1.23,0.146,0.278,0.314,SP_Ace,modeled,True,6.0,1.255,consistent,False,False,primary
63,273.555,-32.048,4048876974301232512,148192799,418550,True,True,17.309,16.0980,17.1230,16.4080,-3.688,0.099,-6.436,0.073,0.058,0.084,260.560,3.371,18.200,usable,False,0.943,2.204,2.202,4.406,5338.5,233.1,3.511,0.691,-0.27,0.255,SP_Ace_primary_CaT_DP_disagrees,-0.914,0.081,-0.27,0.255,-0.099,0.424,SP_Ace,modeled,True,5.0,0.811,check,False,False,secondary
64,273.721,-32.245,4045856929503659392,148628030,499994,True,True,15.629,14.8760,15.9200,15.1440,-5.045,0.043,-7.846,0.032,0.107,0.037,91.360,3.210,35.000,good,False,1.464,3.117,2.406,5.523,4778.0,100.0,3.046,0.276,-0.619,0.094,SP_Ace+CaT_DP_consensus,-0.767,0.052,-0.524,0.092,0.299,0.188,SP_Ace,modeled,True,6.0,1.167,check,True,True,secondary
65,273.591,-32.027,4045875067034844928,148288042,436891,True,True,16.923,15.6820,16.6510,15.9550,-4.608,0.082,-7.787,0.061,0.110,0.070,-83.348,5.214,15.800,usable,False,0.806,3.474,2.153,5.627,5249.0,270.0,3.579,0.852,-0.591,0.139,SP_Ace+CaT_DP_consensus,-0.578,0.116,-0.674,0.378,0.159,0.435,SP_Ace,modeled,True,6.0,0.62,check,True,False,secondary
