time_from_present_myr,ra_deg,dec_deg,distance_kpc,galactocentric_radius_kpc,pm_ra_cosdec_masyr,pm_dec_masyr,radial_velocity_kms
-239.0593091253304,249.13611819574277,-31.97572536988878,9.757702581636618,2.8640613791444904,-4.721108860875962,-3.5405382737767823,-72.04846332656749
-238.76753738803154,248.99848570274347,-31.92607041225659,9.725882547099525,2.8568165565009798,-4.654898129404943,-3.557867567401595,-74.28502278371998
-238.4757656507329,248.86866672277634,-31.87701914416648,9.693355487778696,2.8486684912485165,-4.587890532292171,-3.5762249736327605,-76.52371218304997
-238.18399391343428,248.74673861090406,-31.828605277318637,9.660125731313707,2.8396121432374564,-4.520007607579907,-3.595611357426725,-78.76408656093386
-237.89222217613553,248.6327945895208,-31.78086358731727,9.626196340860664,2.82964087731509,-4.45116946195905,-3.6160323741188254,-81.00561611204718
-237.6004504388368,248.52692977850575,-31.733827582186493,9.59157227050355,2.818749987296098,-4.381290602232225,-3.6374901150142516,-83.24768349576259
-237.30867870153816,248.42924315198283,-31.687527078385482,9.55625794088925,2.806934905631757,-4.310285706597519,-3.659988274879118,-85.48974139591745
-237.0169069642394,248.33985145986014,-31.641999428191788,9.520257857503129,2.7941902270146235,-4.238062104283629,-3.683532771683742,-87.73098913474644
-236.72513522694067,248.25887745602583,-31.59727128106096,9.483577276310438,2.7805111948635997,-4.164524724856535,-3.7081281748351116,-89.97070588376694
-236.43336348964203,248.18645250318752,-31.55337741962099,9.44622132685364,2.7658931258201327,-4.089574562368215,-3.7337807815986346,-92.20799102433358
-236.1415917523433,248.1227215243214,-31.510348404914197,9.408195732517976,2.7503311639632995,-4.01310644862557,-3.760496325084353,-94.44185373815624
-235.84982001504466,248.067833345069,-31.468214156802688,9.369506781681599,2.7338214149198614,-3.935012517833862,-3.788280733866177,-96.6712342895992
-235.5580482777459,248.02195026862972,-31.42700452092862,9.330161023040693,2.716359724115714,-3.8551793358795456,-3.817140013407805,-98.89497098237283
-235.26627654044717,247.9852490104704,-31.38675025059661,9.29016587828751,2.697941951588431,-3.773486894960795,-3.847080504989075,-101.1117508633043
-234.97450480314853,247.9579128218291,-31.347481536789477,9.24952791281612,2.6785639449995053,-3.689810291579022,-3.878109376035143,-103.32020228775892
