cluster_id,orbit_status,cluster_in_bdbs_now,orbit_intersects_bdbs_sky,orbit_intersects_bdbs_inner_bulge,orbit_points_in_bdbs_sky,orbit_points_in_bdbs_inner_bulge,model_pericenter_kpc,model_apocenter_kpc,time_of_model_pericenter_Myr,time_of_model_apocenter_Myr,minimum_abs_b_deg,orbit_csv,bdbs_orbit_time_min_Myr,bdbs_orbit_time_max_Myr
NGC 6441,complete,True,True,True,1262,849,1.0760855,6.01468348,-171.4,-762.3,0.000966267581,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6441_orbit_1Gyr.csv,-935.6,0
NGC 6453,complete,True,True,True,3484,3484,0.161600362,2.6811745,-540.6,-126.7,8.99416206e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6453_orbit_1Gyr.csv,-988.9,0
NGC 6496,complete,False,True,True,680,281,2.53739044,7.47087804,-623.3,-776.3,0.00733007814,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6496_orbit_1Gyr.csv,-565.3,-0.9
NGC 6517,complete,False,True,True,1604,1604,0.42326242,3.39049723,-883.8,-83,7.84702914e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6517_orbit_1Gyr.csv,-977.2,-17.6
NGC 6522,complete,True,True,True,4142,4142,0.7410326,1.52279268,-655.5,-959,0.00108363977,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6522_orbit_1Gyr.csv,-986,0
NGC 6528,complete,True,True,True,3177,3077,0.111767862,3.75022003,-147.9,-690.1,0.000223510486,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6528_orbit_1Gyr.csv,-995.8,0
NGC 6535,complete,False,True,True,1513,1134,0.696123622,5.4380942,-563.3,-284.2,0.00580557023,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6535_orbit_1Gyr.csv,-960.9,-14.4
NGC 6539,complete,False,True,True,1316,950,0.197299402,6.32439344,-924.1,-962.2,0.00236373995,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6539_orbit_1Gyr.csv,-1000,-73.7
NGC 6540,complete,True,True,True,2762,2762,0.817686375,2.41664541,-928,-152.6,0.000306677177,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6540_orbit_1Gyr.csv,-974,0
NGC 6541,complete,True,True,True,1714,1267,1.26061797,4.50360097,-484.4,-576.3,0.00181652967,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6541_orbit_1Gyr.csv,-996.3,0
NGC 6544,complete,True,True,True,1643,814,0.0973251382,7.7279318,-508,-306.1,0.000775963888,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6544_orbit_1Gyr.csv,-959.7,0
NGC 6553,complete,True,True,True,264,190,0.594903679,6.79075675,-545.7,-508.2,0.000114346704,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6553_orbit_1Gyr.csv,-929.4,0
NGC 6558,complete,True,True,True,2454,2409,0.199949371,3.76964402,-927.7,-648.1,6.26260971e-05,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6558_orbit_1Gyr.csv,-970.6,0
NGC 6569,complete,True,True,True,2084,2084,1.78674246,3.00506954,-281.9,-601.4,0.000999021626,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6569_orbit_1Gyr.csv,-975.9,0
NGC 6584,complete,False,True,True,53,12,2.44063748,27.0015486,-16.9,-194.8,0.00609128009,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6584_orbit_1Gyr.csv,-12.3,-7.1
NGC 6624,complete,True,True,True,4326,4326,0.304172182,1.58304645,-247.2,-235.8,0.00121297492,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6624_orbit_1Gyr.csv,-1000,0
NGC 6626,complete,True,True,True,2023,2023,0.397539537,3.02034317,-916.4,-978.1,0.000144622468,/content/drive/MyDrive/Gala_GC_1Gyr_Chen/orbits_csv/NGC_6626_orbit_1Gyr.csv,-942.4,0
