label,RA_deg,Dec_deg,l_deg,b_deg,X_kpc,Y_kpc,Z_kpc,v_x_kms,v_y_kms,v_z_kms,pm_ra_masyr,pm_dec_masyr,RV_kms,release_time_Myr
rotating-bar,276.60447442824295,-24.940274997322884,7.930560834959067,-5.989784791233759,2.2359132489724316,1.4432949620537434,-1.1032988922428149,82.62040132771966,-143.43314351194945,-78.09908187160993,-2.1272353478187385,-7.8123171600544525,24.453141857173044,-481.0
rotating-bar,266.2539342162022,-37.83781049221394,352.3236488642154,-4.522288752061203,1.221805054471412,-1.259670670526107,-0.7489863354508342,-130.0824879203592,-138.75738991742472,123.96068955044343,-6.6851652973991715,-6.381836073631079,-99.50308154150903,-481.0
rotating-bar,276.493692876162,-25.401660987187952,7.471775414051536,-6.111374389031055,2.2893168882587807,1.3658288640904552,-1.1304466867626972,75.83397094306922,-147.0463314182186,-70.21472564481255,-2.2735234301742016,-7.756498384202614,19.7594466213659,-480.5
rotating-bar,266.2449532111196,-38.18486993809027,352.0220604087163,-4.695874827960175,1.1857235642250024,-1.3047461620554475,-0.7752236226933789,-131.7430724120672,-134.67722787336967,122.01093417474115,-6.620597639720228,-6.364736042160582,-99.76931382379199,-480.5
rotating-bar,276.36905915031485,-25.428624617012378,7.395904151872062,-6.023582947509088,2.2886577049238253,1.351712481872964,-1.1139031920381204,79.00664266050481,-146.91173202176455,-72.68783500875026,-2.245782182616465,-7.781575443841225,23.577245333079482,-480.0
rotating-bar,267.1041690295862,-37.3857829586802,353.06017494294065,-4.867427759537805,1.3524589339265665,-1.1534795619708231,-0.816410253978682,-120.84642795018542,-147.88903259725146,113.71807011831051,-6.429924328648724,-6.597706553949785,-94.14243927082069,-480.0
rotating-bar,276.4199299912715,-24.93620345578686,7.857252505911239,-5.839114474349797,2.2399272233733507,1.4303280019606766,-1.0757225616453314,90.29143930005358,-141.71573669175635,-78.65793318351224,-2.135206400608411,-7.795970710599643,32.585306864891734,-479.5
rotating-bar,267.1967875789808,-37.28363674515011,353.1860577402971,-4.878599099971061,1.4269720563087303,-1.1412621785236496,-0.8246669999507893,-120.48840285411306,-145.15898288723866,111.59344689905612,-6.301845770209708,-6.52221316271831,-94.83439881935695,-479.5
rotating-bar,276.22085391007664,-25.97531755341171,6.8455906254455785,-6.154996064721081,2.309881023083247,1.25268701694049,-1.139270810168388,76.09961348728191,-150.87895164983956,-67.44070469072373,-2.3696825665698866,-7.785175155963743,23.639657749101328,-479.0
rotating-bar,266.05705102471467,-38.334620542445286,351.8168458220047,-4.647290365017761,1.1556670272863354,-1.3344366726493746,-0.7650402370463187,-132.27355946261756,-135.07794183366676,121.0998134988606,-6.645148111962438,-6.394936835371004,-98.6528306791936,-479.0
rotating-bar,276.32833170267753,-25.860701580959994,6.992581176420587,-6.188536689395308,2.3221809953002692,1.2813624996237218,-1.1472273076794832,66.47357835686556,-152.5320600318028,-66.39461295269027,-2.3640278304995705,-7.784578383344056,12.847455295618147,-478.5
rotating-bar,266.0160149313395,-37.797627339248784,352.2603048992861,-4.340765700379068,1.2303981049685386,-1.271349963040513,-0.7197118042564359,-130.60686093410462,-136.60561544336127,128.04206354650265,-6.75556776643085,-6.272431618286184,-99.84457178198062,-478.5
rotating-bar,276.4125300716685,-25.975081839219484,6.925023623368566,-6.3081522696702645,2.3151736567367776,1.268016355618636,-1.1685049187324938,69.95349881737852,-152.14839081137004,-61.02479752831244,-2.4627123008329592,-7.738616578393712,16.345818935690417,-478.0
rotating-bar,264.9871455275091,-38.07583774752736,351.59634980861057,-3.7955663664081136,1.168025303329635,-1.372680436798828,-0.626099315464457,-136.31970023759987,-127.17690593241699,137.50326140299575,-6.964479372576761,-5.975974586643537,-101.82227163401626,-478.0
rotating-bar,276.0711640778564,-26.771103592109366,6.071971903302226,-6.399803878870459,2.3690353930071018,1.116292849518179,-1.189757394009456,64.65222979766604,-157.13394834311492,-49.843398687539676,-2.696614055237298,-7.681380194839519,15.360534154856316,-477.5
rotating-bar,265.58404595735504,-37.96227643236869,351.9411032355317,-4.135766850398939,1.2288317219068743,-1.324233050697256,-0.6861531548862317,-132.70640116763002,-131.79658261045373,130.23562578567334,-6.780929934184938,-6.1374068389569105,-100.13657901380202,-477.5
rotating-bar,276.40452315968116,-25.74156055724326,7.130707241830471,-6.1951034496154875,2.3167455593467365,1.306254743054532,-1.1481808011065784,76.85899161055431,-147.29946770550472,-66.08938366716275,-2.3515771605204763,-7.7051272394490695,22.747074085402634,-477.0
rotating-bar,266.6409528808385,-37.65915160164958,352.6356308450519,-4.692173788204015,1.2831285167827131,-1.2158317592182086,-0.7818119552478294,-127.45414362093308,-140.434448235298,120.16154469865019,-6.554195595237917,-6.429307412267371,-98.86145186118613,-477.0
rotating-bar,276.54419585202527,-25.43592479773495,7.462066659341752,-6.167601295370127,2.2831603968601035,1.363230775979158,-1.1401642053965977,80.95745500620492,-145.3684635083426,-67.14996127307548,-2.3274403494229268,-7.710187510690015,24.83005377008457,-476.5
rotating-bar,265.607243136811,-38.16069947586976,351.7811399879263,-4.255157015582074,1.1452499007013734,-1.3388110182697748,-0.6997280575661848,-133.36831813406428,-132.07270301042436,132.1369008220815,-6.875729650215002,-6.184111753226554,-100.03834739529255,-476.5
rotating-bar,276.51630026310977,-25.690578497781992,7.222586054303487,-6.261424995533352,2.2974774525018398,1.3208259249250613,-1.1585624302277602,77.80094672463834,-147.7299516024773,-62.88693806393267,-2.412629800258818,-7.6990013801095385,22.71334412400801,-476.0
rotating-bar,268.07916084199894,-36.793304397625995,353.96871827430454,-5.237363456815375,1.4335595702912436,-1.0098511922960796,-0.884653107618373,-116.49161854761678,-153.64301271629492,105.26961897318563,-6.194423801605363,-6.779437691992342,-95.4794503334241,-476.0
rotating-bar,276.6455432622003,-24.405792367011934,8.425603291084713,-5.778660790822121,2.1841212096971847,1.5269743632003816,-1.0602161360372995,94.23104365765674,-137.22814995036865,-84.09945981477327,-2.0091951538540385,-7.813557938625268,33.69695349894115,-475.5
rotating-bar,265.52160154155155,-38.26704416763501,351.654958236534,-4.253479339043437,1.168303553705101,-1.3630389712225022,-0.7014679560116812,-135.13686971139768,-128.8223746321117,129.181856654436,-6.770624563843485,-6.144659191083131,-101.15621567658305,-475.5
rotating-bar,276.61852734332024,-24.67475759562321,8.17386396954827,-5.879790826216473,2.2258400992432956,1.4867172695510587,-1.0825676462878848,86.45433517182376,-139.65167096524368,-82.86072093775992,-2.0220230411466695,-7.8014654572099715,27.432700768811102,-475.0
rotating-bar,265.6653489757263,-38.16178711449649,351.8041624270763,-4.294671732381801,1.1965308382477204,-1.3423988417136368,-0.7102063198085401,-134.04638522103483,-130.58313213006656,127.2970884717907,-6.7229829692842875,-6.185279812610877,-100.78331511184322,-475.0
rotating-bar,276.47495908852926,-25.545964359844092,7.334896072956056,-6.162243461668397,2.2886626433348485,1.3404480916902193,-1.1394574571895824,80.47574806676813,-146.87625997237302,-66.01075492337532,-2.3622628423733047,-7.722046293616495,24.906824818962722,-474.5
rotating-bar,265.1797772291778,-37.81877794246515,351.89551844258096,-3.7889067272708785,1.2027473213926938,-1.3280880941111068,-0.6269434528409593,-134.0061192684607,-130.57069221870515,138.06698899988982,-6.975442366695249,-6.011070822057978,-101.11811916612758,-474.5
rotating-bar,276.74340694036806,-24.621402256134115,8.27370848690512,-5.956383288363747,2.208480775524087,1.5026115386996257,-1.0950999991219699,91.92521839234293,-135.64617760849302,-82.3494520211521,-2.0099142676862787,-7.7465586962866295,32.773490368080196,-474.0
rotating-bar,263.5940519735396,-38.973996000342076,350.252232174346,-3.354215121917708,0.8860345910561147,-1.5477460498085323,-0.5380284307295079,-146.1629523123572,-112.08839340297145,148.96435152325168,-7.337261717588854,-5.679561054483794,-104.6324747077394,-474.0
rotating-bar,276.0873787648676,-26.77373309228884,6.076280307012624,-6.413880548150605,2.364356178365974,1.116593370667844,-1.1918520123241407,64.91217069023489,-156.3172680075248,-53.831406908450184,-2.620369566038443,-7.706655665147002,16.142264542253194,-473.5
