fiberid,RVraw,RV,e_RV,S/N,CaT1,CaT2,CaT3,SumEW23,BDBS_match,n6569_oid,radeg,decdeg,umag,uerr,gmag,gerr,rmag,rerr,imag,ierr,zmag,zerr,ymag,yerr,Au,Ag,Ar,Ai,Az,Ay,bdbs_id,gaia_id,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag
57,-15.701,-29.055,3.355,39.000,1.440,3.017,2.519,5.536,matched,396450,273.511,-31.922,20.520,0.003,17.977,0.009,16.751,0.018,16.108,0.012,15.726,0.000,15.522,0.027,2.036,1.625,1.192,0.883,0.679,0.541,148075650,4048878971453998976,4048878971453998976,273.51108,0.104,-31.92237,0.089,-0.192,0.109,-4.104,0.129,-7.398,0.094,16.612
58,-32.268,-45.621,3.827,15.900,1.055,2.858,2.147,5.005,matched,428987,273.576,-31.968,20.647,0.005,18.433,0.005,17.339,0.006,16.685,0.047,16.381,0.000,16.207,0.004,2.094,1.671,1.226,0.908,0.698,0.556,148246848,4048879280801579520,4048879280801579520,273.57576,0.079,-31.96837,0.069,0.039,0.084,-4.051,0.099,-7.350,0.071,17.217
60,-73.277,-86.631,3.827,11.800,0.951,2.811,1.798,4.609,matched,426591,273.571,-32.026,21.101,0.028,18.618,0.000,17.514,0.019,16.906,0.043,16.567,0.004,16.394,0.005,1.873,1.495,1.097,0.812,0.625,0.497,148234481,4048877391015906304,4048877391015906304,273.57117,0.086,-32.02653,0.076,0.167,0.088,-4.882,0.106,-7.367,0.078,17.407
61,-65.073,-78.426,3.215,40.000,1.439,2.600,2.133,4.733,matched,451600,273.622,-32.056,19.782,0.019,17.201,0.000,16.009,0.003,15.406,0.003,15.031,0.017,14.777,0.002,1.787,1.426,1.047,0.775,0.596,0.475,148367453,4045874727851137152,4045874727851137152,273.62154,0.046,-32.05633,0.042,0.034,0.048,-3.279,0.055,-7.599,0.044,15.869
63,273.913,260.560,3.371,18.200,0.943,2.204,2.202,4.406,matched,418550,273.555,-32.048,21.002,0.020,18.503,0.000,17.421,0.002,16.848,0.049,16.547,0.001,16.347,0.000,1.729,1.380,1.013,0.750,0.577,0.459,148192799,4048876974301232512,4048876974301232512,273.55540,0.083,-32.04814,0.071,0.058,0.084,-3.688,0.099,-6.436,0.073,17.309
64,104.714,91.360,3.210,35.000,1.464,3.117,2.406,5.523,matched,499994,273.721,-32.245,19.222,0.001,16.660,0.000,15.687,0.001,15.278,0.002,14.969,0.000,14.800,0.001,0.927,0.740,0.543,0.402,0.309,0.246,148628030,4045856929503659392,4045856929503659392,273.72142,0.034,-32.24499,0.029,0.107,0.037,-5.045,0.043,-7.846,0.032,15.629
65,-69.995,-83.348,5.214,15.800,0.806,3.474,2.153,5.627,matched,436891,273.591,-32.027,20.515,0.001,18.131,0.001,17.041,0.014,16.486,0.001,16.115,0.022,15.909,0.004,1.854,1.480,1.086,0.804,0.619,0.493,148288042,4045875067034844928,4045875067034844928,273.59128,0.068,-32.02657,0.058,0.110,0.070,-4.608,0.082,-7.787,0.061,16.923
66,78.072,64.719,4.120,22.900,1.517,2.728,2.434,5.162,matched,437324,273.592,-32.076,20.562,0.022,18.063,0.000,16.968,0.003,16.460,0.001,16.130,0.008,15.899,0.000,1.569,1.252,0.919,0.680,0.523,0.417,148290265,4045874659131668608,4045874659131668608,273.59214,0.092,-32.07557,0.079,-0.155,0.094,-4.327,0.119,-7.204,0.090,16.899
67,-48.473,-61.827,3.220,15.100,1.406,2.390,1.514,3.904,matched,440477,273.598,-32.117,20.096,0.042,18.303,0.000,17.376,0.003,16.952,0.000,16.686,0.017,16.454,0.046,1.545,1.234,0.905,0.670,0.515,0.410,148307113,4045873417767335680,4045873417767335680,273.59843,0.096,-32.11679,0.088,0.034,0.101,-4.387,0.121,-7.427,0.091,17.288
68,42.219,28.866,3.741,25.600,0.929,2.721,2.259,4.981,matched,472646,273.665,-32.241,19.358,0.000,17.171,0.006,16.250,0.001,15.819,0.000,15.568,0.000,15.386,0.000,0.909,0.725,0.532,0.394,0.303,0.241,148481036,4045774981544395264,4045774981544395264,273.66516,0.047,-32.24069,0.042,0.137,0.054,-4.252,0.057,-7.090,0.043,16.180
